N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8254276355695742,0.7886542512274088,0.7749947239731609,0.18198090692124105,0.6023307298403097,0.25980609019406964
Model2,500,2,1,0.8060172267378382,0.7607647771448013,0.7761309404738256,0.2834128878281623,0.3486372520419689,0.28617234235989086
Model3,500,3,1,0.8266407861215577,0.7690653466305563,0.7926646154079136,0.30906921241050117,0.36896349715122134,0.3217055154810188
Model4,500,1,2,0.8591532209147155,0.8410637804535376,0.8349282795370443,0.3818615751789976,0.6845147875023881,0.46903871976441597
Model5,500,2,2,0.8630353026810628,0.8847161770138654,0.8701188677466443,0.6515513126491647,0.6295353529485059,0.6231973572908555
Model6,500,3,2,0.8853572728375592,0.8802523009561696,0.8689517998220174,0.46837708830548924,0.841115693720547,0.5973459044881178
Model7,800,1,2,0.8637631930122528,0.8545423637364485,0.8435876019185257,0.4439140811455847,0.6925587157072165,0.49759110923474303
Model8,800,2,2,0.8983379837437826,0.8904587652773484,0.8892473629421487,0.5954653937947494,0.7792938482124699,0.6653826817558629
Model9,800,3,2,0.8982166686885843,0.8924486438748088,0.8865563758273204,0.5435560859188544,0.8350527873173458,0.6530271453234413
