N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8367099357030208,0.8085718545669192,0.8011274858239948,0.26968973747016706,0.556316300128587,0.3196251283469897
Model2,500,2,1,0.8209389785272352,0.7862011817088503,0.8008773421988017,0.37291169451073986,0.31980724647982545,0.3340771109284502
Model3,500,3,1,0.8386509765861944,0.8101208247644784,0.8059057404691851,0.2863961813842482,0.5432701089265506,0.33477911737489086
Model4,500,1,2,0.8780783695256581,0.8571065951091459,0.8635836062772216,0.493436754176611,0.6248550250449016,0.5431388355852909
Model5,500,2,2,0.9006429697925512,0.8978459877984757,0.8970549556937354,0.6354415274463007,0.692556303015749,0.6535643467610381
Model6,500,3,2,0.9024626956205265,0.8925065977725517,0.8912799793914722,0.5805489260143198,0.761935078329993,0.6442701307061257
Model7,800,1,2,0.881839136236807,0.8630383721591216,0.8692810945282369,0.5286396181384249,0.6083789191529302,0.5549707602274567
Model8,800,2,2,0.9045250515588985,0.9023748217025489,0.8983020815590849,0.636038186157518,0.7277285837653538,0.6572599915644074
Model9,800,3,2,0.896396942860609,0.9080534302536255,0.8984593276142396,0.64618138424821,0.7040838515531299,0.6566111747512777
